Note_1,Note_2,Note_3,Note_4,Note_5,Note_6,Note_7,Note_8,Note_9,Note_10,Note_11,Note_12,Note_13,Note_14,Note_15,Note_16,Note_17,Note_18,Note_19,Note_20,Note_21,Note_22,Note_23,Note_24,Note_25,Note_26,Note
110.00,196.00,261.63,130.81,110.00,196.00,130.81,261.63,220.00,196.00,130.81,130.81,130.81,110.00,196.00,261.63,130.81,130.81,220.00,196.00,261.63,261.63,130.81,220.00,110.00,196.00,P
329.63,293.66,164.81,293.66,329.63,293.66,329.63,293.66,164.81,293.66,164.81,329.63,146.83,164.81,293.66,164.81,164.81,293.66,329.63,293.66,164.81,146.83,130.81,164.81,329.63,146.83,R
130.81,329.63,329.63,329.63,261.63,329.63,164.81,164.81,261.63,164.81,329.63,164.81,164.81,130.81,329.63,329.63,164.81,329.63,261.63,329.63,329.63,329.63,261.63,130.81,261.63,164.81,S
164.81,329.63,110.00,196.00,329.63,164.81,110.00,196.00,329.63,329.63,220.00,220.00,196.00,164.81,329.63,220.00,220.00,196.00,329.63,329.63,220.00,196.00,110.00,164.81,164.81,329.63,D
164.81,293.66,261.63,146.83,329.63,293.66,261.63,146.83,164.81,146.83,130.81,130.81,293.66,329.63,146.83,130.81,261.63,146.83,329.63,146.83,130.81,293.66,220.00,329.63,164.81,146.83,G
130.81,130.81,261.63,293.66,130.81,130.81,130.81,146.83,261.63,130.81,130.81,261.63,293.66,261.63,261.63,261.63,130.81,293.66,261.63,261.63,130.81,146.83,146.83,130.81,261.63,261.63,P
164.81,196.00,164.81,329.63,164.81,196.00,164.81,164.81,329.63,196.00,329.63,329.63,329.63,329.63,196.00,329.63,164.81,164.81,164.81,196.00,164.81,164.81,293.66,164.81,164.81,196.00,P
164.81,146.83,329.63,146.83,164.81,293.66,164.81,146.83,329.63,293.66,329.63,329.63,293.66,329.63,146.83,164.81,164.81,293.66,329.63,146.83,164.81,146.83,130.81,164.81,329.63,146.83,G
329.63,293.66,261.63,146.83,329.63,293.66,130.81,293.66,329.63,293.66,261.63,130.81,146.83,164.81,293.66,261.63,261.63,146.83,164.81,293.66,130.81,146.83,220.00,164.81,164.81,293.66,S
164.81,329.63,110.00,220.00,164.81,329.63,220.00,110.00,164.81,164.81,110.00,110.00,220.00,329.63,164.81,110.00,110.00,220.00,329.63,164.81,220.00,110.00,196.00,329.63,329.63,329.63,G
